# ----------------------------------------,,,,,,,
# cornellsun.com,,,,,,,
# Demographics: Age,,,,,,,
# 20161108-20171129,,,,,,,
# ----------------------------------------,,,,,,,
,,Total,18-24,25-34,45-54,35-44,55-64
45-54,"""McCrea‰Ûªs Late-Game Heroics Propel No. 12/14 Men‰Ûªs Hockey to Victory Over Archrival No. 5 Harvard | The Cornell Daily Sun""",156,0,0,156,0,0
45-54,"""Microsoft and Cornell Tech Announce New Partnership | The Cornell Daily Sun""",156,0,0,156,0,0
45-54,"""RUSSELL | The Stewart Avenue Junkie Network | The Cornell Daily Sun""",156,0,0,156,0,0
45-54,"""Santorum Calls Protests Disrupting Lecture Sign of ‰Û÷Liberal Intolerance‰Ûª at Cornell | The Cornell Daily Sun""",156,0,0,156,0,0
45-54,"""Sisters Create ‰Û÷Ithaca Women Are Nasty‰Ûª T-Shirts to Raise Money for Planned Parenthood | The Cornell Daily Sun""",156,0,0,156,0,0
45-54,"""Student Assembly Election Results Announced | The Cornell Daily Sun""",156,0,0,156,0,0
45-54,"""The Cornell Days of Our Lives | The Cornell Daily Sun""",156,0,0,156,0,0
45-54,"""Understaffed and Underfunded: Identity-Based Programs Struggle to Keep Up | The Cornell Daily Sun""",156,0,0,156,0,0
45-54,"""Unfinished Business: After 10 Years in the NHL, Ryan O‰ÛªByrne ‰Ûª07 Returns to Cornell | The Cornell Daily Sun""",156,0,0,156,0,0
45-54,"""Weed Stench Not Enough to Search Pedestrians in Tompkins County, Judge Says | The Cornell Daily Sun""",156,0,0,156,0,0
45-54,"""Winless No Longer: Football Downs Harvard for 1st Time in 12 Years | The Cornell Daily Sun""",156,0,0,156,0,0
45-54,"""X Ambassadors Bringing Music Festival to Ithaca This Fall | The Cornell Daily Sun""",156,0,0,156,0,0
55-64,"""Does the Ivy League Discriminate Against Asian American Applicants? | The Cornell Daily Sun""",156,0,0,0,0,156
55-64,"""Hacker ‰Û÷Rasputin‰Ûª Breaches Cornell, Attempts to Sell Access | The Cornell Daily Sun""",156,0,0,0,0,156
55-64,"""Ithaca Police Officer Files $5 Million Discrimination Suit Against Chief, City | The Cornell Daily Sun""",156,0,0,0,0,156
55-64,"""Judge Orders Cornell to Investigate Policy 6.4 Complaint | The Cornell Daily Sun""",156,0,0,0,0,156
55-64,"""Male Graduate Sues Cornell, Saying Investigator Discriminated Against Him Based on Religion, Ethnicity, Sex | The Cornell Daily Sun""",156,0,0,0,0,156
55-64,"""Sports | The Cornell Daily Sun""",156,0,0,0,0,156
55-64,"""Trevor Noah Dissects U.S. Race Relations in Talk on Cornell Campus | The Cornell Daily Sun""",156,0,0,0,0,156
55-64,"""Winless No Longer: Defense Dominates as Football Downs Harvard for 1st Time in 12 Years | The Cornell Daily Sun""",156,0,0,0,0,156
65+,"""Winless No Longer: Defense Dominates as Football Downs Harvard for 1st Time in 12 Years | The Cornell Daily Sun""",156,0,0,0,0,0
65+,"""Winter Storm Stella Closes Cornell Campus | The Cornell Daily Sun""",156,0,0,0,0,0
18-24,"""Appel Dining Reduces Spring Weekend Hours in Effort to Save Money | The Cornell Daily Sun""",149,149,0,0,0,0
18-24,"""Author Highlights Cornell Roots of Justice Ruth Bader Ginsburg ‰Ûª54 | The Cornell Daily Sun""",149,149,0,0,0,0
18-24,"""Brothers Working Together to Put Men‰Ûªs Soccer Back on Top | The Cornell Daily Sun""",149,149,0,0,0,0
18-24,"""Can Happy Death Day Be the Next Horror Blockbuster? | The Cornell Daily Sun""",149,149,0,0,0,0
18-24,"""Cornell Faculty Donations Flood Left, Filings Show | The Cornell Daily Sun""",149,149,0,0,0,0
18-24,"""Cornell Grad Bryan Colangelo ‰Ûª87 Hired as Philadelphia 76ers‰Ûª President | The Cornell Daily Sun""",149,149,0,0,0,0
18-24,"""GROSKAUFMANIS | In Defense of Commentary | The Cornell Daily Sun""",149,149,0,0,0,0
18-24,"""GUEST ROOM | To be Brown: South Asian Students Taking a Stand | The Cornell Daily Sun""",149,149,0,0,0,0
18-24,"""Incoming Cornell Tech Executive-in-Residence to Step Down From Position at Apple | The Cornell Daily Sun""",149,149,0,0,0,0
18-24,"""IPD, NYS Police Search for Missing Person in Gorges | The Cornell Daily Sun""",149,149,0,0,0,0
18-24,"""LETTER TO THE EDITOR | Prof. David Collum, Chemistry, is owed an apology and a retraction | The Cornell Daily Sun""",149,149,0,0,0,0
18-24,"""Live Blog: No. 12/14 Men‰Ûªs Hockey Faces Archrival No. 5 Harvard | The Cornell Daily Sun""",149,149,0,0,0,0
18-24,"""Live Blog: Thousands of Demonstrators Gather for Women‰Ûªs March on Ithaca | The Cornell Daily Sun""",149,149,0,0,0,0
18-24,"""Make-A-Wish Charity Game Is Personal for Field Hockey‰Ûªs Conklin | The Cornell Daily Sun""",149,149,0,0,0,0
18-24,"""Police Played ‰Û÷Mind Games‰Ûª With Cornell Murder Suspect, Lawyers Say | The Cornell Daily Sun""",149,149,0,0,0,0
18-24,"""Prof Johnson Remembered as Passionate, Caring, ‰Û÷a Professor‰Ûªs Professor‰Ûª | The Cornell Daily Sun""",149,149,0,0,0,0
18-24,"""SEX ON THURSDAYS | Toothy Head | The Cornell Daily Sun""",149,149,0,0,0,0
18-24,"""Steberger ‰Ûª13 Withdraws Tompkins County Legislature Bid Following Sexual Assault Allegation | The Cornell Daily Sun""",149,149,0,0,0,0
18-24,"""Stories of Incarcerated People Resonate With Cornell Students | The Cornell Daily Sun""",149,149,0,0,0,0
18-24,"""TEST SPIN: dvsn ‰ÛÓ Morning After | The Cornell Daily Sun""",149,149,0,0,0,0
25-34,"""‰Û÷There‰Ûªs No Planet B,‰Ûª U.K. Astronomer Royal Warns in Carl Sagan Lecture | The Cornell Daily Sun""",149,0,149,0,0,0
25-34,"""Afghan Family of 6 Arrives in Ithaca to Warm Welcome | The Cornell Daily Sun""",149,0,149,0,0,0
25-34,"""Cayuga‰Ûªs Waiters Suspended for Code of Conduct Violations | The Cornell Daily Sun""",149,0,149,0,0,0
25-34,"""Cornell Alumna, Former Prof and IT Director to Challenge Tom Reed in Next Year‰Ûªs Election | The Cornell Daily Sun""",149,0,149,0,0,0
25-34,"""Cornell Men‰Ûªs Hockey Gears Up for Annual MSG Game | The Cornell Daily Sun""",149,0,149,0,0,0
25-34,"""Cornell Rises to 14th Best University in U.S. News Rankings | The Cornell Daily Sun""",149,0,149,0,0,0
25-34,"""Court Docs Detail Murder Suspect‰Ûªs Confession, Testimony from Witnesses | The Cornell Daily Sun""",149,0,149,0,0,0
25-34,"""DeVos Expected To Make ‰Û÷Major Announcement‰Ûª on Title IX Policy | The Cornell Daily Sun""",149,0,149,0,0,0
25-34,"""Disability Fashion Exhibit Brings Industry‰Ûªs Newest Frontier to Cornell | The Cornell Daily Sun""",149,0,149,0,0,0
25-34,"""Dunbar‰Ûªs Closes Doors After 36 Years in Collegetown | The Cornell Daily Sun""",149,0,149,0,0,0
25-34,"""Food Waste at Cornell: It‰Ûªs More Serious than You Think | The Cornell Daily Sun""",149,0,149,0,0,0
25-34,"""GUEST ROOM | Mitch McBride: In His Own Words | The Cornell Daily Sun""",149,0,149,0,0,0
25-34,"""IFC Welcomes First Muslim-Interest Fraternity | The Cornell Daily Sun""",149,0,149,0,0,0
25-34,"""Judge Declines to Hold University in Contempt; Professor Demands Tenure Review Start Immediately | The Cornell Daily Sun""",149,0,149,0,0,0
25-34,"""LETTER TO THE EDITOR | What Happened to the Waiters? | The Cornell Daily Sun""",149,0,149,0,0,0
25-34,"""NYS Dive Team Finds Body of Missing Person in Ithaca Falls Gorge | The Cornell Daily Sun""",149,0,149,0,0,0
25-34,"""Prosecutors to Present Hate Crime Law to Grand Jury in Collegetown Assault Case | The Cornell Daily Sun""",149,0,149,0,0,0
25-34,"""Santa Clarita Diet Satisfies the Appetite | The Cornell Daily Sun""",149,0,149,0,0,0
25-34,"""Students Return to Incomplete Collegetown Apartments | The Cornell Daily Sun""",149,0,149,0,0,0
25-34,"""Suspected Campus Thieves Allegedly Charged Hotel Room to Student | The Cornell Daily Sun""",149,0,149,0,0,0
25-34,"""Travis Apgar Heads to New Post at RPI | The Cornell Daily Sun""",149,0,149,0,0,0
25-34,"""Winter Storm Brings 28-Hour Shutdown To Cornell | The Cornell Daily Sun""",149,0,149,0,0,0
35-44,"""Academic Calendar Changes Approved by Provost | The Cornell Daily Sun""",149,0,0,0,149,0
35-44,"""All You Need is Kill | The Cornell Daily Sun""",149,0,0,0,149,0
35-44,"""Anti-Semitic Posters Appear at Cornell Advertising Apparently Fake Hate Group | The Cornell Daily Sun""",149,0,0,0,149,0
35-44,"""Cornell Food Researcher‰Ûªs Errors Do Not Constitute Misconduct, University Finds | The Cornell Daily Sun""",149,0,0,0,149,0
35-44,"""Cornell Professor Dies in Plane Crash at Age 39 | The Cornell Daily Sun""",149,0,0,0,149,0
35-44,"""Hundreds ‰Û÷Take a Knee‰Ûª to Support Athletes and Cornell Students Fighting Racism | The Cornell Daily Sun""",149,0,0,0,149,0
35-44,"""In Largest Ever Donation to Ithaca Campus, Johnson ‰Ûª79 Gives $150M to Endow College of Business | The Cornell Daily Sun""",149,0,0,0,149,0
35-44,"""Ithaca Officials Air Frustrations With ICE as Hundreds Protest Agency‰Ûªs Arrest | The Cornell Daily Sun""",149,0,0,0,149,0
35-44,"""Judge Declines to Hold University in Contempt; Professor Demands Tenure Review Start Immediately | The Cornell Daily Sun""",149,0,0,0,149,0
35-44,"""Men‰Ûªs Hockey Punches Ticket To Lake Placid With Resilient Game 3 Win | The Cornell Daily Sun""",149,0,0,0,149,0
35-44,"""REDDY | Why Asian Americans Should Major in Asian American Studies | The Cornell Daily Sun""",149,0,0,0,149,0
35-44,"""SEX ON THURSDAYS | The 10 Types of People You‰Ûªll Have Sex With at Cornell | The Cornell Daily Sun""",149,0,0,0,149,0
45-54,"""At Cornell, Newt Gingrich Maps Trump‰Ûªs Rise | The Cornell Daily Sun""",149,0,0,149,0,0
45-54,"""Break from Your Daily Grind: Ithaca‰Ûªs Best Coffee Finds | The Cornell Daily Sun""",149,0,0,149,0,0
45-54,"""City Passes Resolution to Recognize Indigenous Peoples‰Ûª Day | The Cornell Daily Sun""",149,0,0,149,0,0
45-54,"""Cornell Highlights Contingency Plans for Potential DACA Repeal | The Cornell Daily Sun""",149,0,0,149,0,0
45-54,"""Cornell Now Has More Active Title IX Investigations than Any Other University | The Cornell Daily Sun""",149,0,0,149,0,0
45-54,"""Cornell Police Officer Honored for Hoisting Man From Edge of Bridge | The Cornell Daily Sun""",149,0,0,149,0,0
45-54,"""Court Docs Detail Murder Suspect‰Ûªs Confession, Testimony from Witnesses | The Cornell Daily Sun""",149,0,0,149,0,0
45-54,"""Ethnic Studies Program Funding Concerns Remain Unresolved by Deans | The Cornell Daily Sun""",149,0,0,149,0,0
45-54,"""Hundreds ‰Û÷Take a Knee‰Ûª to Support Athletes and Cornell Students Fighting Racism | The Cornell Daily Sun""",149,0,0,149,0,0
45-54,"""Ithaca Man Accused of Theft, Multiple Campus Trespasses Turns Himself In | The Cornell Daily Sun""",149,0,0,149,0,0
45-54,"""LETTER TO THE EDITOR | College of Business: Where Is ILR? | The Cornell Daily Sun""",149,0,0,149,0,0
45-54,"""Man Flags Down Ambulance for Stab Wound in Ithaca | The Cornell Daily Sun""",149,0,0,149,0,0
45-54,"""Ritter ‰Ûª83 to Step Down as Dean of Arts and Sciences | The Cornell Daily Sun""",149,0,0,149,0,0
45-54,"""The Best Burgers in Ithaca and Where to Find Them | The Cornell Daily Sun""",149,0,0,149,0,0
45-54,"""The Cost of Conservatism at Cornell: Groups Claim Hosting Conservative Speakers Comes With Added Expenses | The Cornell Daily Sun""",149,0,0,149,0,0
45-54,"""Tillman ‰Ûª91 Leads Maryland Men‰Ûªs Lacrosse to 1st National Championship in 42 Years | The Cornell Daily Sun""",149,0,0,149,0,0
45-54,"""University Assembly Committee to Consider ‰Û÷Hate Speech‰Ûª Clause After 250 Pack Meeting in Protest | The Cornell Daily Sun""",149,0,0,149,0,0
45-54,"""Wegmans Hacks: $15 for a Week‰Ûªs Groceries | The Cornell Daily Sun""",149,0,0,149,0,0
55-64,"""50 Years Ago Today: A 24-Year-Old Bob Dylan Electrifies Barton Hall | The Cornell Daily Sun""",149,0,0,0,0,149
55-64,"""A Quick Guide to (Some of) the Best Brunch Spots in Ithaca | The Cornell Daily Sun""",149,0,0,0,0,149
55-64,"""Arrested Cornell Student Apologizes for ‰Û÷Unacceptable and Inappropriate‰Ûª Language | The Cornell Daily Sun""",149,0,0,0,0,149
55-64,"""Co-founder of Monty Python to Return to Cornell | The Cornell Daily Sun""",149,0,0,0,0,149
55-64,"""Cornell Joins 16 Universities in Amicus Brief Rebuking Executive Order Travel Ban | The Cornell Daily Sun""",149,0,0,0,0,149
55-64,"""Football Dominates Brown, Stifling Bears in Blowout Homecoming Victory | The Cornell Daily Sun""",149,0,0,0,0,149
55-64,"""Former Employee Pleads Guilty to Embezzling $360K From Cornell, DA Says | The Cornell Daily Sun""",149,0,0,0,0,149
55-64,"""HUBSHER | It‰Ûªs Not You, It‰Ûªs Me | The Cornell Daily Sun""",149,0,0,0,0,149
55-64,"""Lawsuit Alleges Bias in University Sexual Assault Investigation | The Cornell Daily Sun""",149,0,0,0,0,149
55-64,"""McCrea‰Ûªs Late-Game Heroics Propel No. 12/14 Men‰Ûªs Hockey to Victory Over Archrival No. 5 Harvard | The Cornell Daily Sun""",149,0,0,0,0,149
55-64,"""Members of Big Red Marching Band Take Stand by Kneeling Before Football Game | The Cornell Daily Sun""",149,0,0,0,0,149
55-64,"""Newt Gingrich to Speak to Cornell Community | The Cornell Daily Sun""",149,0,0,0,0,149
55-64,"""Weed Stench Not Enough to Search Pedestrians in Tompkins County, Judge Says | The Cornell Daily Sun""",149,0,0,0,0,149
65+,"""CALS Student Remembered as Leader of LGBTQ, Latinx Communities | The Cornell Daily Sun""",149,0,0,0,0,0
65+,"""Cornell Student Converts Old School Bus Into Solar Powered Home | The Cornell Daily Sun""",149,0,0,0,0,0
65+,"""First Chinese-Born NHL Draft Pick Commits to Cornell | The Cornell Daily Sun""",149,0,0,0,0,0
65+,"""HUBSHER | It‰Ûªs Not You, It‰Ûªs Me | The Cornell Daily Sun""",149,0,0,0,0,0
65+,"""Police Searching for Two Men who Fled Crashed Car on Ithaca‰Ûªs West Hill | The Cornell Daily Sun""",149,0,0,0,0,0
18-24,"""Blade Runner 2049 Might Just Be A Masterpiece | The Cornell Daily Sun""",142,142,0,0,0,0
18-24,"""BSU Calls for Cornell Students to Wear Black, Rally at University Assembly Meeting on Tuesday | The Cornell Daily Sun""",142,142,0,0,0,0
18-24,"""Cornell Food Researcher Retracts Fourth Study Due to ‰Û÷No Empirical Support‰Ûª | The Cornell Daily Sun""",142,142,0,0,0,0
18-24,"""Cornell Prof Says More Men Identify as ‰Û÷Mostly Straight‰Ûª Than Bisexual or Gay Combined in New Book | The Cornell Daily Sun""",142,142,0,0,0,0
18-24,"""Cornell‰Ûªs Seismic Design Team Judged Best in Worldwide Competition | The Cornell Daily Sun""",142,142,0,0,0,0
18-24,"""Cornellians Celebrate Inaugural First Generation Students Week | The Cornell Daily Sun""",142,142,0,0,0,0
18-24,"""Cornellians Rally Against Removal of DACA | The Cornell Daily Sun""",142,142,0,0,0,0
18-24,"""Date Night Deals: Dinner for 2 for $25 or Less | The Cornell Daily Sun""",142,142,0,0,0,0
18-24,"""Despite Noise Complaints, Cornellians and Ithacans Find Common Ground at Meeting | The Cornell Daily Sun""",142,142,0,0,0,0
18-24,"""Disability Fashion Exhibit Brings Industry‰Ûªs Newest Frontier to Cornell | The Cornell Daily Sun""",142,142,0,0,0,0
18-24,"""EDITORIAL | A New Bipartisan Beginning | The Cornell Daily Sun""",142,142,0,0,0,0
18-24,"""Faculty Debate Graduation Requirements, Interdisciplinary Courses in A&S Curriculum Review | The Cornell Daily Sun""",142,142,0,0,0,0
18-24,"""Friends, Family Mourn Death of McGinnis ‰Ûª15 | The Cornell Daily Sun""",142,142,0,0,0,0
18-24,"""GLANZEL | Free Speech is Necessary | The Cornell Daily Sun""",142,142,0,0,0,0
18-24,"""Letter to the Editor: Setting the record straight on the attempt to silence me at Vassar | The Cornell Daily Sun""",142,142,0,0,0,0
18-24,"""LETTER TO THE EDITOR: The time to act is now | The Cornell Daily Sun""",142,142,0,0,0,0
18-24,"""Make it a True Daily Double! Cornell Alumus Wins Over $100,000 on Jeopardy | The Cornell Daily Sun""",142,142,0,0,0,0
18-24,"""Once Proclaimed the ‰Û÷Worst College Football Game,‰Ûª Cornell-Columbia Now Has Title Implications | The Cornell Daily Sun""",142,142,0,0,0,0
18-24,"""Over 1,000 Cornellians Petition University to Become Sanctuary for Undocumented Students | The Cornell Daily Sun""",142,142,0,0,0,0
18-24,"""Pi Kappa Alpha Taken Off Interim Suspension, Put on Yearlong Probation | The Cornell Daily Sun""",142,142,0,0,0,0
18-24,"""Pollack Addresses Increasing Enrollment in Computer Science Classes | The Cornell Daily Sun""",142,142,0,0,0,0
18-24,"""Prof Explains Deep-Seated Uncertainties in World Politics | The Cornell Daily Sun""",142,142,0,0,0,0
18-24,"""SEX ON THURSDAYS | The Bathhouse Globetrotter Finds Masturbatory Utopia | The Cornell Daily Sun""",142,142,0,0,0,0
18-24,"""Sherlock‰Ûªs Fourth Season Had More Than One Final Problem | The Cornell Daily Sun""",142,142,0,0,0,0
18-24,"""Student Reflects on Chicanx Identity, Marginalization on Campus | The Cornell Daily Sun""",142,142,0,0,0,0
25-34,"""Attorney Cannot Reach Ithaca Immigrant Client Facing Deportation | The Cornell Daily Sun""",142,0,142,0,0,0
25-34,"""Columbia Undergrad Details His Family‰Ûªs Escape From North Korea | The Cornell Daily Sun""",142,0,142,0,0,0
25-34,"""Cornell Prof Says More Men Identify as ‰Û÷Mostly Straight‰Ûª Than Bisexual or Gay Combined in New Book | The Cornell Daily Sun""",142,0,142,0,0,0
25-34,"""Employee Assembly Debates Cornell Snow Day Policy | The Cornell Daily Sun""",142,0,142,0,0,0
25-34,"""GLANZEL | Cornell and ‰Û÷Diversity‰Ûª | The Cornell Daily Sun""",142,0,142,0,0,0
25-34,"""Kara Miller Named Director of Sorority and Fraternity Life | The Cornell Daily Sun""",142,0,142,0,0,0
25-34,"""Klarman ‰Ûª79 Says Puerto Rico Should Repay Its Debts, Johnson Prof Agrees | The Cornell Daily Sun""",142,0,142,0,0,0
25-34,"""Kotlikoff: New Housing Plan Increasing Enrollment Could Drop Cornell‰Ûªs Ranking | The Cornell Daily Sun""",142,0,142,0,0,0
25-34,"""Letter to the Editor: In response to the article ‰Û÷Anti-Semitic Posters Appear at Cornell Advertising Apparently Fake Hate Group‰Ûª | The Cornell Daily Sun""",142,0,142,0,0,0
25-34,"""Man Accused of Ithaca Arson Dies in Jail Cell | The Cornell Daily Sun""",142,0,142,0,0,0
25-34,"""New Study Offers Insight Into Gender Imbalance in Higher Education | The Cornell Daily Sun""",142,0,142,0,0,0
25-34,"""Okenshields, Ivy Room Kitchens Reopen After Renovation Project | The Cornell Daily Sun""",142,0,142,0,0,0
25-34,"""Prof Urges Students to Consider Oppression of The Rohingya | The Cornell Daily Sun""",142,0,142,0,0,0
25-34,"""Three Cornellians Honored as Schwarzman Scholars | The Cornell Daily Sun""",142,0,142,0,0,0
25-34,"""What was Suspect Video? Interview with Luis Ceriz, Legendary Toronto Video Store Retailer | The Cornell Daily Sun""",142,0,142,0,0,0
25-34,"""Wolfgang Ballinger | The Cornell Daily Sun""",142,0,142,0,0,0
35-44,"""Cornell Microbiology Professor Dies at 64 | The Cornell Daily Sun""",142,0,0,0,142,0
35-44,"""Former Tompkins County Corrections Officer Charged with Rape | The Cornell Daily Sun""",142,0,0,0,142,0
35-44,"""Ithaca Man Accused of Theft, Multiple Campus Trespasses Turns Himself In | The Cornell Daily Sun""",142,0,0,0,142,0
35-44,"""Rare Witchcraft Collection Brewing for Halloween Opening | The Cornell Daily Sun""",142,0,0,0,142,0
35-44,"""Researchers Propose New Biochar Technique to Scrub Atmospheric Carbon Dioxide | The Cornell Daily Sun""",142,0,0,0,142,0
35-44,"""SEX ON THURSDAY | Have You Ever Had a Threesome With Your Best Friend? | The Cornell Daily Sun""",142,0,0,0,142,0
35-44,"""Sports | The Cornell Daily Sun""",142,0,0,0,142,0
35-44,"""SWAN | Well Well Well Well; Thanks for the Memories Fall 2016 | The Cornell Daily Sun""",142,0,0,0,142,0
35-44,"""TEST SPIN: Wu-Tang Clan ‰ÛÓ The Saga Continues | The Cornell Daily Sun""",142,0,0,0,142,0
35-44,"""Undergraduate Tuition to Rise 3.75 Percent, Endowed Colleges‰Ûª Sticker Price Now $52,612 | The Cornell Daily Sun""",142,0,0,0,142,0
35-44,"""University Assembly Committee to Consider ‰Û÷Hate Speech‰Ûª Clause After 250 Pack Meeting in Protest | The Cornell Daily Sun""",142,0,0,0,142,0
35-44,"""Wings Over Ithaca Closes After Over 10 Years in Ithaca | The Cornell Daily Sun""",142,0,0,0,142,0
45-54,"""50 Years After Cornell Blaze That Killed 9, Questions Linger | The Cornell Daily Sun""",142,0,0,142,0,0
45-54,"""Afghan Family of Six Refugees To Arrive in Ithaca Under State Dept. Grant | The Cornell Daily Sun""",142,0,0,142,0,0
45-54,"""At Least One Stabbed Near Mobil Gas Station in Ithaca | The Cornell Daily Sun""",142,0,0,142,0,0
45-54,"""Employee Tip Sparks Arrest of Former ILR Admin for $360K Theft | The Cornell Daily Sun""",142,0,0,142,0,0
45-54,"""Following Security Concerns, Cornell Political Union Makes Controversial Event Private | The Cornell Daily Sun""",142,0,0,142,0,0
45-54,"""Former Cornell Professor Wins Nobel Prize in Economics | The Cornell Daily Sun""",142,0,0,142,0,0
45-54,"""GUEST ROOM | Let‰Ûªs Get Down to Business | The Cornell Daily Sun""",142,0,0,142,0,0
45-54,"""Hearing Board Clears Cornell Student Who Leaked Documents | The Cornell Daily Sun""",142,0,0,142,0,0
45-54,"""Letter to the Editor: Setting the record straight on the attempt to silence me at Vassar | The Cornell Daily Sun""",142,0,0,142,0,0
45-54,"""SEX ON THURSDAYS | The 10 Types of People You‰Ûªll Have Sex With at Cornell | The Cornell Daily Sun""",142,0,0,142,0,0
45-54,"""Students Debate Puerto Rico‰Ûªs Relationship with United States | The Cornell Daily Sun""",142,0,0,142,0,0
45-54,"""Students Defend Fox-Proclaimed Liberal Biased Course | The Cornell Daily Sun""",142,0,0,142,0,0
45-54,"""Students to ‰Û÷Stand Together‰Ûª Following Racist, Anti-Semitic Incidents | The Cornell Daily Sun""",142,0,0,142,0,0
45-54,"""Ten Forward Cafe: An Honest Review of Ithaca‰Ûªs First Vegan Cafe | The Cornell Daily Sun""",142,0,0,142,0,0
45-54,"""Undergraduate Tuition to Rise 3.75 Percent, Endowed Colleges‰Ûª Sticker Price Now $52,612 | The Cornell Daily Sun""",142,0,0,142,0,0
45-54,"""What I Got Out of Get Out | The Cornell Daily Sun""",142,0,0,142,0,0
45-54,"""Winter Storm Brings 28-Hour Shutdown To Cornell | The Cornell Daily Sun""",142,0,0,142,0,0
45-54,"""Women‰Ûªs Soccer Promotes Dwight Hornibrook to Become Team‰Ûªs Sixth Head Coach | The Cornell Daily Sun""",142,0,0,142,0,0
55-64,"""Accused Walmart Killer Faces Prior Charges, Opposes Mother‰Ûªs Custody Request | The Cornell Daily Sun""",142,0,0,0,0,142
55-64,"""At Cornell, Newt Gingrich Maps Trump‰Ûªs Rise | The Cornell Daily Sun""",142,0,0,0,0,142
55-64,"""Chris Savino, Cartoon Brew, and How NOT to Respond to Sexual Violence | The Cornell Daily Sun""",142,0,0,0,0,142
55-64,"""Cornell Wine Tasting Team Uncorks Big Win | The Cornell Daily Sun""",142,0,0,0,0,142
55-64,"""Hundreds ‰Û÷Take a Knee‰Ûª to Support Athletes and Cornell Students Fighting Racism | The Cornell Daily Sun""",142,0,0,0,0,142
55-64,"""S.A. Appropriations Committee Votes to Defund Cornell Cinema | The Cornell Daily Sun""",142,0,0,0,0,142
55-64,"""Student Assembly Narrowly Votes Down Resolution to Increase Faculty ‰Û÷Ideological Diversity‰Ûª | The Cornell Daily Sun""",142,0,0,0,0,142
55-64,"""TEST SPIN: Bob Dylan ‰ÛÓ Triplicate | The Cornell Daily Sun""",142,0,0,0,0,142
55-64,"""Unfinished Business: After 10 Years in the NHL, Ryan O‰ÛªByrne ‰Ûª07 Returns to Cornell | The Cornell Daily Sun""",142,0,0,0,0,142
65+,"""Deer Dies in Cornell Graduate Student Office After Leaping Through Rockefeller Hall Window | The Cornell Daily Sun""",142,0,0,0,0,0
65+,"""Judge Orders Cornell to Review Tenure Denial for ‰Û÷World-Class‰Ûª Professor | The Cornell Daily Sun""",142,0,0,0,0,0
65+,"""Live Blog: Thousands of Demonstrators Gather for Women‰Ûªs March on Ithaca | The Cornell Daily Sun""",142,0,0,0,0,0
65+,"""Myrick Vows to Protect Minorities, Immigrants in Ithaca | The Cornell Daily Sun""",142,0,0,0,0,0
18-24,"""‰Û÷One Cornell We Shall Be‰Ûª: Cornell Inaugurates Martha Pollack as 14th President | The Cornell Daily Sun""",135,135,0,0,0,0
18-24,"""A Post-Women‰Ûªs Day Assessment of Gender Equality at Cornell | The Cornell Daily Sun""",135,135,0,0,0,0
18-24,"""Abortion Debate, Protest Shed Light on Opposing Views on Reproductive Rights | The Cornell Daily Sun""",135,135,0,0,0,0
18-24,"""After Inauguration, Thousands to Demonstrate in Ithaca Women‰Ûªs March | The Cornell Daily Sun""",135,135,0,0,0,0
18-24,"""COLA Demands Cornell Cut Ties With Nike, Citing Labor Conditions | The Cornell Daily Sun""",135,135,0,0,0,0
18-24,"""Cornell Senior Wins Hospitality Scholarship for 3rd Straight Year | The Cornell Daily Sun""",135,135,0,0,0,0
18-24,"""Cornell, Columbia Accused of Discriminating Against Asian American Students in College Admissions | The Cornell Daily Sun""",135,135,0,0,0,0
18-24,"""Dunkirk: Sound and Storytelling | The Cornell Daily Sun""",135,135,0,0,0,0
18-24,"""Gala at Johnson Museum Raises Awareness for Refugee Crisis | The Cornell Daily Sun""",135,135,0,0,0,0
18-24,"""Getting to the Core of Apple Fest | The Cornell Daily Sun""",135,135,0,0,0,0
18-24,"""In Letter, Hundreds of Cornellians Demand Sanctuary for Undocumented Students | The Cornell Daily Sun""",135,135,0,0,0,0
18-24,"""JAIN | What Does it Mean to Feel 22? | The Cornell Daily Sun""",135,135,0,0,0,0
18-24,"""JAKHER | It‰Ûªs All Up (Libe) Hill From Here | The Cornell Daily Sun""",135,135,0,0,0,0
18-24,"""JEONG | In Memoriam: Youth and Idealism | The Cornell Daily Sun""",135,135,0,0,0,0
18-24,"""Kubiak Signs With Islanders‰Ûª AHL Affiliate Through 2017-18 | The Cornell Daily Sun""",135,135,0,0,0,0
18-24,"""Letter to the Editor: A call for administrative support for Cornell Cinema | The Cornell Daily Sun""",135,135,0,0,0,0
18-24,"""Lightweight Rowing Wins 3rd National Title Since 2014 to Cap Off Undefeated Season | The Cornell Daily Sun""",135,135,0,0,0,0
18-24,"""Looking Back: 16 Top Stories of 2016 | The Cornell Daily Sun""",135,135,0,0,0,0
18-24,"""NYC Hedge Fund Buys Space in Cornell Tech Building | The Cornell Daily Sun""",135,135,0,0,0,0
18-24,"""Pixar‰Ûªs ‰ÛÏCars 3‰Ûù is Worth a Spin | The Cornell Daily Sun""",135,135,0,0,0,0
18-24,"""Report: Cornell Lost $280 Million in Interest Rate Swaps | The Cornell Daily Sun""",135,135,0,0,0,0
18-24,"""RUSSELL | My Johnson | The Cornell Daily Sun""",135,135,0,0,0,0
18-24,"""RUSSELL | Word 2017 | The Cornell Daily Sun""",135,135,0,0,0,0
18-24,"""sex on thursday | The Cornell Daily Sun""",135,135,0,0,0,0
